"filename", "language", "JSON", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\painterp\repos\pp-simple-privacy-server\.eslintrc.json", "JSON", 25, 0, 0, 0, 1, 26
"c:\Users\painterp\repos\pp-simple-privacy-server\README.md", "Markdown", 0, 26, 0, 0, 16, 42
"c:\Users\painterp\repos\pp-simple-privacy-server\package.json", "JSON", 33, 0, 0, 0, 1, 34
"c:\Users\painterp\repos\pp-simple-privacy-server\sps.forever.config.json", "JSON", 12, 0, 0, 0, 2, 14
"c:\Users\painterp\repos\pp-simple-privacy-server\src\SimplePrivacyController.ts", "TypeScript", 0, 0, 112, 55, 14, 181
"c:\Users\painterp\repos\pp-simple-privacy-server\src\SimplePrivacyServer.ts", "TypeScript", 0, 0, 28, 0, 3, 31
"c:\Users\painterp\repos\pp-simple-privacy-server\src\SimplePrivacyService.ts", "TypeScript", 0, 0, 59, 2, 8, 69
"c:\Users\painterp\repos\pp-simple-privacy-server\src\index.ts", "TypeScript", 0, 0, 9, 0, 3, 12
"c:\Users\painterp\repos\pp-simple-privacy-server\src\types.d.ts", "TypeScript", 0, 0, 1, 0, 1, 2
"c:\Users\painterp\repos\pp-simple-privacy-server\tsconfig.json", "JSON", 28, 0, 0, 2, 1, 31
"Total", "-", 98, 26, 209, 59, 50, 442